Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1751198,1793199,142162,197710,296328,14824,24687,589066,528423,42002,13317,21068,7617
1989:Q3,RemainingTop1,2917378,2999765,477980,160694,581876,145498,86447,731984,815286,82387,61941,4882,15564
1989:Q3,Next9,7765731,8235971,2013608,418132,800882,1579253,445440,1006174,1972482,470240,364985,58297,46958
1989:Q3,Next40,7277724,8835232,3428813,755133,353231,1609960,397246,602171,1688677,1557507,1151635,355614,50258
1989:Q3,Bottom50,712018,1710317,830607,364511,23371,128431,53987,40228,269182,998299,618812,344346,35141
1989:Q4,TopPt1,1809935,1849953,156045,199998,309519,17407,23829,595863,547292,40019,12683,19575,7761
1989:Q4,RemainingTop1,2977864,3065690,498112,160101,594297,155921,90435,738174,828649,87826,65335,5649,16842
1989:Q4,Next9,7897136,8385945,2062586,415940,820288,1599107,464982,1018612,2004430,488809,378639,62729,47441
1989:Q4,Next40,7413711,8994397,3446814,773525,368928,1662178,415144,603524,1724283,1580686,1168497,362116,50073
1989:Q4,Bottom50,705777,1733517,830761,376018,25007,129520,55599,40655,275958,1027740,634960,359216,33564
1990:Q1,TopPt1,1798387,1836037,165014,188232,282368,20148,22430,600332,557513,37650,12364,17263,8023
1990:Q1,RemainingTop1,2969583,3062687,500980,162539,561984,165383,91339,742868,837594,93104,68251,6549,18304
1990:Q1,Next9,7871338,8383101,2043902,429107,770565,1608980,472525,1028345,2029677,511763,400862,60920,49981
1990:Q1,Next40,7490193,9084308,3446133,798115,359486,1707640,418974,603878,1750081,1594114,1195486,347800,50828
1990:Q1,Bottom50,726806,1778093,856955,388989,24499,130330,55451,41088,280780,1051287,657950,359787,33550
1990:Q2,TopPt1,1837834,1873562,176511,190319,297829,22777,20943,608897,556286,35728,12050,15590,8088
1990:Q2,RemainingTop1,3016385,3113628,518500,161687,575898,175320,93356,749124,839743,97243,70724,7187,19332
1990:Q2,Next9,7971550,8506205,2082656,425643,792372,1622830,492116,1041288,2049300,534655,421215,62653,50787
1990:Q2,Next40,7606512,9219908,3464437,815060,376666,1756103,429310,604981,1773351,1613396,1217180,345667,50549
1990:Q2,Bottom50,707049,1781211,843057,399678,26288,131254,55823,41503,283609,1074162,674242,367615,32305
1990:Q3,TopPt1,1785725,1819194,188523,173696,221631,25474,19476,619082,571312,33469,11559,14025,7885
1990:Q3,RemainingTop1,2961655,3063133,523999,164517,486695,184837,92279,755761,855045,101477,73830,7939,19708
1990:Q3,Next9,7874605,8425371,2071884,438307,654858,1631954,486414,1055176,2086778,550766,436741,65413,48612
1990:Q3,Next40,7668021,9298310,3492750,832237,335040,1801496,422866,606151,1807770,1630289,1234901,346529,48859
1990:Q3,Bottom50,735969,1833022,885570,407397,23016,132046,54620,41908,288465,1097052,689706,378396,28950
1990:Q4,TopPt1,1866523,1897895,197986,163075,268910,28104,18698,623992,597130,31372,10829,12375,8168
1990:Q4,RemainingTop1,3045485,3153611,525838,166041,535564,194683,96688,759419,875378,108126,77897,8909,21320
1990:Q4,Next9,8010990,8576380,2054316,445280,730626,1643638,507437,1063484,2131599,565389,446412,67848,51129
1990:Q4,Next40,7783531,9427375,3455529,848855,373051,1848895,442542,605501,1853003,1643844,1248479,345871,49494
1990:Q4,Bottom50,758008,1881809,912728,415791,26618,132913,56459,42336,294964,1123801,705638,389388,28775
1991:Q1,TopPt1,1969949,1998768,208136,162470,338348,30772,18309,618969,621764,28819,10148,10219,8452
1991:Q1,RemainingTop1,3141985,3256397,534882,165557,607947,204346,102692,757790,883183,114412,81733,9885,22794
1991:Q1,Next9,8155179,8729568,2064539,444582,843515,1652900,530417,1061670,2131945,574388,456506,65168,52714
1991:Q1,Next40,7908321,9548209,3429508,867827,424661,1894833,468811,601773,1860796,1639888,1261117,328816,49955
1991:Q1,Bottom50,768168,1903984,910338,427348,31470,133713,59265,42821,299028,1135816,719648,388119,28049
1991:Q2,TopPt1,1961421,1988223,219425,154189,335937,33384,17218,619833,608237,26802,9868,8557,8377
1991:Q2,RemainingTop1,3147444,3265992,545582,166262,599809,214363,105076,758573,876326,118548,84427,10599,23522
1991:Q2,Next9,8158423,8753572,2072037,447158,831485,1664997,542655,1064729,2130511,595150,476339,65782,53029
1991:Q2,Next40,7985766,9640628,3441675,881624,430600,1942963,479020,599284,1865462,1654862,1282826,322818,49218
1991:Q2,Bottom50,770678,1927257,924091,434466,32347,134595,59961,43280,298517,1156578,736653,393549,26376
1991:Q3,TopPt1,1985705,2011157,231157,136393,372136,36004,16514,617035,601919,25452,9647,7092,8713
1991:Q3,RemainingTop1,3196464,3318111,549293,168979,633881,224434,109772,757118,874633,121647,85582,10846,25219
1991:Q3,Next9,8221627,8838918,2053808,459392,885350,1677002,562628,1063579,2137159,617291,492520,66983,57788
1991:Q3,Next40,8130654,9791650,3470798,897492,460837,1991247,499722,595448,1876106,1660995,1291134,319256,50605
1991:Q3,Bottom50,821802,1983095,965334,441219,35387,135477,61990,43770,299918,1161293,735085,398322,27886
1991:Q4,TopPt1,2089388,2113734,244224,127448,468882,38616,15908,608938,609718,24346,9469,5705,9172
1991:Q4,RemainingTop1,3318839,3445022,558765,169619,734224,234667,115412,752633,879702,126184,87641,11378,27165
1991:Q4,Next9,8407454,9053183,2063317,461605,1043072,1689988,586897,1056635,2151669,645729,512725,69836,63168
1991:Q4,Next40,8284610,9967812,3476710,910819,528555,2040431,524985,589855,1896456,1683202,1310451,320342,52409
1991:Q4,Bottom50,841111,2026367,987569,447956,41797,136388,64544,44305,303809,1185257,747070,408320,29867
1992:Q1,TopPt1,2076851,2099713,256797,125104,458147,40976,14644,605145,598899,22862,9650,3933,9279
